NAME,RATING,AREA,DISHES,APPROX,DISC
The Bridge4.6,4.6,"Tarawade Clarks Inn, Pune",₹ 1500 for two approx.,₹ 1500 for two approx.,25% Off :Payeazy
Punjab Exotica4.6,4.6,"Amanora Mall, Hadapsar",Multicuisine₹ 1300 for two approx.,₹ 1300 for two approx.,35% Off + 25% Off
Skye - Rooftop By Eternia4.2,4.2,"Senapati Bapat Road, Pune","Multicuisine, Cocktail Menu₹ 2000 for two approx.",₹ 2000 for two approx.,15% Off + 25% Off
Atmosphere 64.4,4.4,"Viman Nagar, Pune",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,15% Off + 25% Off
Bloom Café4.0,4.0,"Bloom Hotel - Koregaon Park,Pune",₹ 1200 for two approx.,₹ 1200 for two approx.,25% Off :Payeazy
Big Table - The Veg Bar4.0,4.0,"Coronet The Boutique Hotel, Pune",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,25% Off :Payeazy
Cafe Zen Courtyard4.0,4.0,"Koregaon Park, Pune",Multicuisine₹ 1000 for two approx.,₹ 1000 for two approx.,25% Off :Payeazy
MOH Bistro & Barrels5.0,5.0,"Mundhwa, Pune",Multicuisine₹ 1800 for two approx.,₹ 1800 for two approx.,45% Off + 25% Off
TGI Friday's4.6,4.6,"The Pavillion, Senapati Bapat Road  | View All(2) Outlets",Multicuisine₹ 2400 for two approx.,₹ 2400 for two approx.,25% Off + 25% Off
5ive By Radisson Hinjewadi4.7,4.7,Radisson Blu Pune Hinjewadi,Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,30% Off + 25% Off
The Bridge & SKYE4.0,4.0,Radisson Blu Hotel Pune Kharadi,Mexican₹ 1200 for two approx.,₹ 1200 for two approx.,25% Off + 25% Off
Punjab Grill3.7,3.7,"Phoenix Mall of the Millennium, Wakad  | View All(3) Outlets",North Indian₹ 1200 for two approx.,₹ 1200 for two approx.,30% Off + 25% Off
The Waterfall Lounge4.0,4.0,"Hyatt Pune, Kalyani Nagar",French₹ 1000 for two approx.,₹ 1000 for two approx.,20% Off + 25% Off
The Great Kabab Factory4.0,4.0,Radisson Blu Hotel Pune Kharadi,North Indian₹ 4000 for two approx.,₹ 4000 for two approx.,50% Off + 25% Off
FML - Food Music Love3.1,3.1,"Seasons Mall, Magarpatta  | View All(4) Outlets",Multicuisine₹ 1900 for two approx.,₹ 1900 for two approx.,45% Off + 25% Off
Agent Jack's3.2,3.2,"Amanora Mall, Hadapsar  | View All(4) Outlets",Multicuisine₹ 1800 for two approx.,₹ 1800 for two approx.,35% Off + 25% Off
Funny Cat4.4,4.4,"Ramee Grand, Pune",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,30% Off + 25% Off
Shizusan4.3,4.3,"Viman Nagar, Pune",Pan Asian₹ 1600 for two approx.,₹ 1600 for two approx.,15% Off + 25% Off
HAPAA - Asian Stir4.4,4.4,"Kalyani Nagar, Pune",Asian₹ 1200 for two approx.,₹ 1200 for two approx.,20% Off + 25% Off
Le Parc 3.9,3.9,"Wakad, Pune",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,20% Off + 25% Off
La Belle Resto Bar4.0,4.0,"Hinjawadi, Pune",Multicuisine₹ 1000 for two approx.,₹ 1000 for two approx.,35% Off + 25% Off
Teritree4.4,4.4,"Hadapsar, Pune",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,15% Off + 25% Off
Da Nonna's5.0,5.0,"Deccan Gymkhana, Pune",Italian₹ 1200 for two approx.,₹ 1200 for two approx.,15% Off + 25% Off
The Barkhana4.4,4.4,"Wakad, Pune","Pan Asian, Indian₹ 1300 for two approx.",₹ 1300 for two approx.,20% Off + 25% Off
Saffron Restaurant 5.0,5.0,"Kalyani Nagar, Pune",North Indian₹ 1200 for two approx.,₹ 1200 for two approx.,10% Off + 25% Off
Thikana4.1,4.1,"FC Road, Pune  | View All(4) Outlets","North Indian, Cocktail Menu, oriental₹ 1300 for two approx.",₹ 1300 for two approx.,25% Off + 25% Off
The Market4.5,4.5,"The Westin Pune Koregaon Park, Pune",Multicuisine₹ 2800 for two approx.,₹ 2800 for two approx.,25% Off + 25% Off
Utse Kitchen4.0,4.0,"Shivajinagar, Central Bengaluru",Asian₹ 1500 for two approx.,₹ 1500 for two approx.,25% Off
Chin Lung Resto Bar4.5,4.5,"Residency Road, Central Bengaluru  | View All(5) Outlets",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
Nasi and Mee4.6,4.6,"Richmond Town, Central Bengaluru  | View All(5) Outlets",Asian₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
Öz By Kebapci4.6,4.6,"UB City, Central Bengaluru",Turkish₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
one8 Commune3.8,3.8,"MG Road, Central Bengaluru",Multicuisine₹ 2800 for two approx.,₹ 2800 for two approx.,25% Off
KoMaama Korean Restaurant4.0,4.0,"Brigade Road, Central Bengaluru",Korean₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
Juliet3.8,3.8,"1MG Road Mall, MG Road","European, Asian₹ 3000 for two approx.",₹ 3000 for two approx.,25% Off
Maverick & Farmer Coffee4.6,4.6,"Ulsoor, East Bengaluru",Cafe₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
Daddy4.1,4.1,"Indiranagar, East Bengaluru","Pan Asian, Cocktail Menu₹ 2000 for two approx.",₹ 2000 for two approx.,25% Off
