NAME,RATING,AREA,DISHES,APPROX,DISC
Once Upon A Time 4.3,4.3,Hotel GreenPark,Indian₹ 2000 for two approx.,₹ 2000 for two approx.,30% Off + 25% Off
Barbeque Nation4.5,4.5,"Road No. 1, Banjara Hills, Hyderabad  | View All(16) Outlets","Barbeque, Multicuisine₹ 2000 for two approx.",₹ 2000 for two approx.,25% Off :Payeazy
Seventh Heaven4.4,4.4,"Panjagutta, Hyderabad  | View All(2) Outlets",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,10% Off + 25% Off
Arabian Nights Mandi Restaurant3.5,3.5,"Ameerpet, Hyderabad",Multicuisine₹ 600 for two approx.,₹ 600 for two approx.,10% Off + 25% Off
The Waterfront Bar & Grill2.2,2.2,"Necklace Road, Hyderabad","Indian, Chinese₹ 1200 for two approx.",₹ 1200 for two approx.,15% Off + 25% Off
Tabla4.2,4.2,"Banjara Hills, Hyderabad  | View All(5) Outlets",Multicuisine₹ 1333 for two approx.,₹ 1333 for two approx.,20% Off + 25% Off
FEU - Dessert Bar & Kitchen5.0,5.0,"Jubilee Hills, Hyderabad",Multicuisine₹ 1400 for two approx.,₹ 1400 for two approx.,10% Off + 25% Off
Chili’s Grill & Bar3.8,3.8,"Banjara Hills, Hyderabad  | View All(3) Outlets",Tex-Mex₹ 1500 for two approx.,₹ 1500 for two approx.,15% Off + 25% Off
AB's - Absolute Barbecues4.5,4.5,"Road No. 1, Banjara Hills, Hyderabad  | View All(12) Outlets","Barbeque, Multicuisine₹ 1850 for two approx.",₹ 1850 for two approx.,25% Off :Payeazy
Frosty Den4.0,4.0,"Amberpet, Hyderabad","Desserts, Fast Food₹ 500 for two approx.",₹ 500 for two approx.,35% Off + 25% Off
Medley - Pure Vegetarian4.7,4.7,"Jubilee Hills, Hyderabad",Multicuisine₹ 1000 for two approx.,₹ 1000 for two approx.,20% Off + 25% Off
Bikanervala4.7,4.7,"Bikanervala Boutique, Hyderabad  | View All(3) Outlets",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,10% Off + 25% Off
Raen - The Chef’s Studio4.0,4.0,The Leela Hyderabad,Bengali₹ 4000 for two approx.,₹ 4000 for two approx.,25% Off :Payeazy
The Fifth Street4.0,4.0,"Jubilee Hills, Hyderabad",Multicuisine₹ 1000 for two approx.,₹ 1000 for two approx.,15% Off + 25% Off
The Sicca Bar1.0,1.0,"The Park, Hyderabad","Finger Food, Cocktail Menu₹ 1800 for two approx.",₹ 1800 for two approx.,30% Off + 25% Off
Tulips4.3,4.3,Hotel GreenPark,Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,10% Off + 25% Off
Garage Moto Cafe4.0,4.0,"Jubilee Hills, Hyderabad",Multicuisine₹ 800 for two approx.,₹ 800 for two approx.,10% Off + 25% Off
Saffron Restaurant3.6,3.6,"Jubilee Hills, Hyderabad",North Indian₹ 1200 for two approx.,₹ 1200 for two approx.,10% Off + 25% Off
The Palm Banjara3.2,3.2,"Jubilee Hills, Hyderabad",Multicuisine₹ 800 for two approx.,₹ 800 for two approx.,10% Off + 25% Off
Hooch- Club & Kitchen4.0,4.0,"Banjara Hills, Hyderabad",Multicuisine₹ 1800 for two approx.,₹ 1800 for two approx.,55% Off + 25% Off
Kebabs & Kurries4.8,4.8,ITC Kakatiya,Indian₹ 3400 for two approx.,₹ 3400 for two approx.,10% Off + 25% Off
Wow! Momo1.0,1.0,"Ameerpet, Hyderabad  | View All(23) Outlets",Momos₹ 400 for two approx.,₹ 400 for two approx.,15% Off + 25% Off
Kadali Kitchen4.8,4.8,"Jubilee Hills, Hyderabad",Indian₹ 1000 for two approx.,₹ 1000 for two approx.,25% Off :Payeazy
Okra3.8,3.8,"Hyderabad Marriott Hotel & Convention Centre, Hyderabad",Multicuisine₹ 2500 for two approx.,₹ 2500 for two approx.,30% Off + 25% Off
Dakshin Haveli4.0,4.0,"Banjara Hills, Hyderabad",South Indian₹ 400 for two approx.,₹ 400 for two approx.,25% Off + 25% Off
Fly - Feel The High5.0,5.0,"Jubilee Hills, Hyderabad","Cocktail Menu, Multicuisine₹ 1400 for two approx.",₹ 1400 for two approx.,20% Off + 25% Off
Deccan Pavilion3.9,3.9,ITC Kakatiya,Multicuisine₹ 2600 for two approx.,₹ 2600 for two approx.,10% Off + 25% Off
Dakshin4.3,4.3,ITC Kakatiya,South Indian₹ 3400 for two approx.,₹ 3400 for two approx.,10% Off + 25% Off
Aroma Multi Cuisine Restaurant3.9,3.9,"Gachibowli, Hyderabad",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,35% Off + 25% Off
Tiga4.0,4.0,The Leela Hyderabad,Pan Asian₹ 3500 for two approx.,₹ 3500 for two approx.,25% Off :Payeazy
EKAA - A Harmony Of Flavours4.0,4.0,"Banjara Hills, Hyderabad",Multicuisine₹ 800 for two approx.,₹ 800 for two approx.,20% Off + 25% Off
The Gallery Cafe5.0,5.0,"Banjara Hills, Hyderabad",Continental₹ 900 for two approx.,₹ 900 for two approx.,15% Off + 25% Off
Sync Resto Bar4.8,4.8,"Best Western Ashoka, Hyderabad",Indian₹ 1300 for two approx.,₹ 1300 for two approx.,15% Off + 25% Off
Jolly Bros and Co.3.5,3.5,"Banjara Hills, Hyderabad","Finger Food, Cocktail Menu₹ 1500 for two approx.",₹ 1500 for two approx.,25% Off :Payeazy
Krispy Kreme4.0,4.0,"Banjara Hills, Hyderabad  | View All(9) Outlets",Desserts₹ 350 for two approx.,₹ 350 for two approx.,15% Off + 25% Off
Spice It 3.2,3.2,"Ibis Hotel, Hyderabad",Indian₹ 1400 for two approx.,₹ 1400 for two approx.,50% Off + 25% Off
Permit To Grill4.0,4.0,Novotel Hyderabad Convention Centre,Continental₹ 1800 for two approx.,₹ 1800 for two approx.,30% Off + 25% Off
Cups N Plates4.6,4.6,"Lakdikapul, Hyderabad",Fast Food₹ 900 for two approx.,₹ 900 for two approx.,10% Off + 25% Off
The Bedford BakeHouse & TeaRoom4.5,4.5,"Banjara Hills, Hyderabad","Italian, European, Bakery₹ 1100 for two approx.",₹ 1100 for two approx.,10% Off + 25% Off
Marco Polo Bar4.3,4.3,ITC Kakatiya,Finger Food₹ 2700 for two approx.,₹ 2700 for two approx.,10% Off + 25% Off
Esthio4.1,4.1,"Somajiguda, Hyderabad",Italian₹ 1150 for two approx.,₹ 1150 for two approx.,10% Off + 25% Off
Params Kitchen & Cafe4.0,4.0,"Ameerpet, Hyderabad",Multicuisine₹ 600 for two approx.,₹ 600 for two approx.,10% Off + 25% Off
Banjara9 Multi Cuisine Restaurant4.0,4.0,"Khairatabad, Hyderabad",Multicuisine₹ 1000 for two approx.,₹ 1000 for two approx.,10% Off + 25% Off
Deccan Cafe Restaurant 4.0,4.0,"Park Continental, Hyderabad",Indian₹ 800 for two approx.,₹ 800 for two approx.,10% Off + 25% Off
Chandra Haveli3.0,3.0,"Jubilee Hills, Hyderabad",Multicuisine₹ 800 for two approx.,₹ 800 for two approx.,15% Off + 25% Off
Bharpur Multicusine Family Restaurant4.0,4.0,"Punjagutta, Hyderabad",Multicuisine₹ 1000 for two approx.,₹ 1000 for two approx.,10% Off + 25% Off
Urban Nemo Cafe In Garden4.8,4.8,"Jubilee Hills, Hyderabad",Multicuisine₹ 800 for two approx.,₹ 800 for two approx.,25% Off :Payeazy
Moonlight Bar2.7,2.7,"Best Western Ashoka, Hyderabad",Finger Food₹ 1200 for two approx.,₹ 1200 for two approx.,15% Off + 25% Off
Kritunga The Palegars Cuisine3.5,3.5,"Somajiguda, Hyderabad",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,10% Off + 25% Off
Golden Pavilion3.3,3.3,"Banjara Hills, Hyderabad",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,10% Off + 25% Off
Bel Posto The Cafe4.5,4.5,"Road No. 36, Jubilee Hills, Hyderabad",Multicuisine₹ 800 for two approx.,₹ 800 for two approx.,30% Off + 25% Off
Candy cloud factory4.0,4.0,"Banjara Hills, Hyderabad","Beverages, Desserts, Fast Food₹ 300 for two approx.",₹ 300 for two approx.,Free Dessert + 25% Off
Hyderabad Mandi Restaurant 4.0,4.0,"Yousufguda, Hyderabad",Multicuisine₹ 450 for two approx.,₹ 450 for two approx.,Free Beverages + 25% Off
ZING - Sky Bar + Lounge4.1,4.1,Hyatt Place Hyderabad Banjara Hills,Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,25% Off :Payeazy
Onesta4.0,4.0,"Road No. 1, Banjara Hills, Hyderabad  | View All(1) Outlets",Italian₹ 600 for two approx.,₹ 600 for two approx.,25% Off :Payeazy
Insomnia4.1,4.1,"Road No. 36, Jubilee Hills, Hyderabad","Finger Food, Cocktail Menu₹ 1500 for two approx.",₹ 1500 for two approx.,20% Off + 25% Off
Eagle Bar & Restaurant5.0,5.0,"Hotel Abode, Hyderabad","Finger Food, Cocktail Menu, Continental₹ 1000 for two approx.",₹ 1000 for two approx.,25% Off :Payeazy
Kanak4.5,4.5,Trident Hyderabad,Indian₹ 4500 for two approx.,₹ 4500 for two approx.,25% Off + 25% Off
Connect1.0,1.0,"Jubilee Hills, Hyderabad",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,15% Off + 25% Off
The Library Bar4.0,4.0,The Leela Hyderabad,"Finger Food, Cocktail Menu₹ 3500 for two approx.",₹ 3500 for two approx.,25% Off :Payeazy
Solcito 4.0,4.0,The Leela Hyderabad,Multicuisine₹ 5000 for two approx.,₹ 5000 for two approx.,25% Off :Payeazy
The Foodstories Cafe4.0,4.0,"Banjara Hills, Hyderabad",European₹ 1500 for two approx.,₹ 1500 for two approx.,25% Off :Payeazy
